EncuestaID,RangoEdad,Genero,Departamento,Municipio,Ocupacion
1,55 Años O Más,Femenino,Guatemala,Santa Catarina Pinula,Jubilado
2,18 - 24 Años,Masculino,Guatemala,Santa Catarina Pinula,Empresario
3,35 - 44 Años,Masculino,Alta Verapaz,Alta Verapaz,Estudiante
4,25 - 34 Años,Femenino,Guatemala,San Miguel Petapa,Empleado Privado
5,25 - 34 Años,Femenino,Guatemala,San Miguel Petapa,Estudiante
6,18 - 24 Años,Masculino,Quetzaltenango,Olintepeque,Comerciante
7,35 - 44 Años,Masculino,Sacatepéquez,Ciudad Vieja,Empleado Privado
8,25 - 34 Años,Prefiero No Indicarlo,Guatemala,Villa Nueva,Empresario
9,25 - 34 Años,Femenino,Chimaltenango,Chimaltenango,Profesional Independiente
10,Menos De 18 Años,Femenino,Guatemala,Guatemala,Otro
11,18 - 24 Años,Masculino,Suchitepéquez,Suchitepéquez,Profesional Independiente
12,Menos De 18 Años,Masculino,Quetzaltenango,Quetzaltenango,Empleado Privado
13,25 - 34 Años,Masculino,Chiquimula,Chiquimula,Empresario
14,25 - 34 Años,Femenino,Quiché,Otro Municipio,Jubilado
15,18 - 24 Años,Femenino,Retalhuleu,Otro Municipio,Estudiante
16,Menos De 18 Años,Femenino,Sacatepéquez,Jocotenango,Estudiante
17,18 - 24 Años,Femenino,Guatemala,Guatemala,Empleado Privado
18,35 - 44 Años,Masculino,Guatemala,Santa Catarina Pinula,Empleado Público
19,18 - 24 Años,Femenino,Santa Rosa,Otro Municipio,Comerciante
20,18 - 24 Años,Femenino,Guatemala,San Miguel Petapa,Empresario
21,25 - 34 Años,Masculino,Jutiapa,Jutiapa,Empleado Público
22,25 - 34 Años,Masculino,Jalapa,Otro Municipio,Empleado Privado
23,25 - 34 Años,Masculino,Guatemala,Guatemala,Empresario
24,18 - 24 Años,Femenino,Guatemala,San Miguel Petapa,Otro
25,45 - 54 Años,Femenino,Guatemala,Santa Catarina Pinula,Empresario
26,18 - 24 Años,Femenino,Petén,Poptún,Empleado Privado
27,25 - 34 Años,Femenino,Chimaltenango,Tecpán Guatemala,Jubilado
28,25 - 34 Años,Femenino,Chimaltenango,Chimaltenango,Otro
29,25 - 34 Años,Masculino,Guatemala,San Miguel Petapa,Estudiante
30,25 - 34 Años,Masculino,Guatemala,San Miguel Petapa,Empresario
31,25 - 34 Años,Femenino,Sacatepéquez,Ciudad Vieja,Profesional Independiente
32,18 - 24 Años,Masculino,Escuintla,Santa Lucía Cotzumalguapa,Estudiante
33,18 - 24 Años,Femenino,Escuintla,Escuintla,Profesional Independiente
34,25 - 34 Años,Femenino,Chimaltenango,Tecpán Guatemala,Empresario
35,Menos De 18 Años,Masculino,Guatemala,Guatemala,Empleado Privado
36,25 - 34 Años,Masculino,El Progreso,Cabecera Municipal,Empleado Privado
37,18 - 24 Años,Femenino,Quiché,Otro Municipio,Profesional Independiente
38,25 - 34 Años,Femenino,Guatemala,San Miguel Petapa,Profesional Independiente
39,Menos De 18 Años,Masculino,Chiquimula,Cabecera Municipal,Estudiante
40,45 - 54 Años,Femenino,Quiché,Cabecera Municipal,Empresario
41,18 - 24 Años,Femenino,Quetzaltenango,Olintepeque,No Indicado
42,18 - 24 Años,Femenino,Escuintla,Santa Lucía Cotzumalguapa,Ama De Casa
43,18 - 24 Años,Femenino,Guatemala,Villa Nueva,Ama De Casa
44,45 - 54 Años,Masculino,Guatemala,Villa Nueva,Ama De Casa
45,25 - 34 Años,Femenino,Guatemala,Mixco,Estudiante
46,45 - 54 Años,Masculino,Quetzaltenango,Olintepeque,Estudiante
47,35 - 44 Años,Masculino,Guatemala,Guatemala,Comerciante
48,35 - 44 Años,Masculino,Chimaltenango,Chimaltenango,Estudiante
49,45 - 54 Años,Femenino,Totonicapán,Totonicapán,Empleado Privado
50,Menos De 18 Años,Prefiero No Indicarlo,Escuintla,Escuintla,Empleado Privado
51,18 - 24 Años,Femenino,Chimaltenango,Chimaltenango,Empresario
52,35 - 44 Años,Masculino,Sololá,Otro Municipio,Empleado Privado
53,25 - 34 Años,Masculino,Sololá,Otro Municipio,Empleado Privado
54,18 - 24 Años,Femenino,Guatemala,Santa Catarina Pinula,Profesional Independiente
55,25 - 34 Años,Femenino,Quetzaltenango,,Comerciante
56,18 - 24 Años,Masculino,Escuintla,Escuintla,Estudiante
57,55 Años O Más,Femenino,Guatemala,Mixco,Comerciante
58,25 - 34 Años,Masculino,Quetzaltenango,Coatepeque,Empresario
59,18 - 24 Años,Femenino,Guatemala,Santa Catarina Pinula,Empresario
60,45 - 54 Años,Masculino,Guatemala,Santa Catarina Pinula,Empleado Privado
