EncuestaID,SaborPreferido,PresentacionPreferida
1,Dulce,Familiar
2,Caramelo,Familiar
3,Picante Chapín,Familiar
4,Limón,Familiar
5,Queso,Para Compartir Entre 2 Personas
6,Jalapeño,Para Compartir Entre 2 Personas
7,Dulce,Individual
8,Chocolate,Para Compartir Entre 2 Personas
9,Dulce,Familiar
10,Barbacoa,Para Compartir Entre 2 Personas
11,Queso,Individual
12,Limón,Tamaño Fiesta O Reunión
13,Queso,Tamaño Fiesta O Reunión
14,Queso,Individual
15,Jalapeño,Individual
16,Barbacoa,Tamaño Fiesta O Reunión
17,Limón,Para Compartir Entre 2 Personas
18,Barbacoa,Individual
19,Picante Chapín,Para Compartir Entre 2 Personas
20,Queso,Familiar
21,Barbacoa,Tamaño Fiesta O Reunión
22,Barbacoa,Familiar
23,Caramelo,Familiar
24,Queso,Familiar
25,Limón,Familiar
26,Picante Chapín,Para Compartir Entre 2 Personas
27,Chocolate,Familiar
28,Salado Tradicional,Individual
29,Barbacoa,Familiar
30,Dulce,Familiar
31,Picante Chapín,Tamaño Fiesta O Reunión
32,Limón,Para Compartir Entre 2 Personas
33,Jalapeño,Para Compartir Entre 2 Personas
34,Barbacoa,Familiar
35,Picante Chapín,Familiar
36,Jalapeño,Para Compartir Entre 2 Personas
37,No Indicado,Familiar
38,Jalapeño,Familiar
39,Limón,Individual
40,Limón,Individual
41,Limón,Para Compartir Entre 2 Personas
42,Queso,Familiar
43,Salado Tradicional,Individual
44,Caramelo,Familiar
45,Queso,Familiar
46,Picante Chapín,Para Compartir Entre 2 Personas
47,Limón,Individual
48,Queso,Individual
49,Queso,Familiar
50,Dulce,Familiar
51,Picante Chapín,Para Compartir Entre 2 Personas
52,Salado Tradicional,Tamaño Fiesta O Reunión
53,Queso,Tamaño Fiesta O Reunión
54,Queso,Individual
55,Queso,Familiar
56,Caramelo,Familiar
57,Queso,Para Compartir Entre 2 Personas
58,Picante Chapín,Para Compartir Entre 2 Personas
59,Jalapeño,Familiar
60,Picante Chapín,Familiar
61,Picante Chapín,Para Compartir Entre 2 Personas
62,Barbacoa,Individual
63,Picante Chapín,Para Compartir Entre 2 Personas
64,Barbacoa,Individual
65,Salado Tradicional,Tamaño Fiesta O Reunión
66,Limón,Individual
67,Salado Tradicional,Familiar
68,Caramelo,Familiar
69,Limón,Tamaño Fiesta O Reunión
70,Jalapeño,Familiar
71,Limón,Familiar
72,Chocolate,Familiar
73,Limón,Para Compartir Entre 2 Personas
74,Salado Tradicional,Tamaño Fiesta O Reunión
75,Caramelo,Individual
76,Chocolate,Individual
77,Caramelo,Individual
78,Picante Chapín,Individual
79,Picante Chapín,Individual
80,Salado Tradicional,Para Compartir Entre 2 Personas
81,Caramelo,Individual
82,Jalapeño,Para Compartir Entre 2 Personas
83,Limón,Tamaño Fiesta O Reunión
84,Barbacoa,Familiar
85,Picante Chapín,Tamaño Fiesta O Reunión
86,Picante Chapín,Tamaño Fiesta O Reunión
87,Queso,Familiar
88,Jalapeño,Tamaño Fiesta O Reunión
89,Limón,Tamaño Fiesta O Reunión
90,Queso,Familiar
91,Limón,Tamaño Fiesta O Reunión
92,Queso,Tamaño Fiesta O Reunión
93,Jalapeño,Familiar
94,Chocolate,Individual
95,Limón,Individual
96,Jalapeño,Para Compartir Entre 2 Personas
97,Picante Chapín,Tamaño Fiesta O Reunión
98,Limón,Individual
99,Picante Chapín,Tamaño Fiesta O Reunión
100,Barbacoa,Individual
101,Limón,Individual
102,Dulce,Individual
103,No Indicado,Individual
104,Picante Chapín,Tamaño Fiesta O Reunión
105,Limón,Familiar
106,Barbacoa,Para Compartir Entre 2 Personas
107,Queso,Familiar
108,Barbacoa,Individual
109,Queso,Para Compartir Entre 2 Personas
110,Barbacoa,Familiar
111,Barbacoa,Tamaño Fiesta O Reunión
112,Salado Tradicional,Tamaño Fiesta O Reunión
113,Queso,Tamaño Fiesta O Reunión
114,Salado Tradicional,Para Compartir Entre 2 Personas
115,Chocolate,Tamaño Fiesta O Reunión
116,Dulce,Individual
117,Picante Chapín,Individual
118,Barbacoa,Tamaño Fiesta O Reunión
119,Queso,Familiar
120,Jalapeño,Individual
121,Salado Tradicional,Tamaño Fiesta O Reunión
122,Salado Tradicional,Para Compartir Entre 2 Personas
123,Chocolate,Individual
124,Queso,Familiar
125,Queso,Familiar
126,Chocolate,Familiar
127,Salado Tradicional,Para Compartir Entre 2 Personas
128,Caramelo,Tamaño Fiesta O Reunión
129,Limón,Tamaño Fiesta O Reunión
130,Limón,Individual
131,Picante Chapín,Individual
132,Queso,Individual
133,Caramelo,Familiar
134,Jalapeño,Individual
135,Salado Tradicional,Para Compartir Entre 2 Personas
136,Salado Tradicional,Individual
137,Queso,Familiar
138,Limón,Tamaño Fiesta O Reunión
139,Jalapeño,Para Compartir Entre 2 Personas
140,Jalapeño,Familiar
141,Queso,Individual
142,Queso,Familiar
143,Barbacoa,Para Compartir Entre 2 Personas
144,Salado Tradicional,Individual
145,Picante Chapín,Para Compartir Entre 2 Personas
146,Caramelo,Familiar
147,Barbacoa,Familiar
148,Jalapeño,Para Compartir Entre 2 Personas
149,Salado Tradicional,Tamaño Fiesta O Reunión
150,Picante Chapín,Para Compartir Entre 2 Personas
151,Limón,Familiar
152,Jalapeño,Tamaño Fiesta O Reunión
153,Dulce,Individual
154,Queso,Individual
155,Jalapeño,Individual
156,Queso,Para Compartir Entre 2 Personas
157,Picante Chapín,Familiar
158,Jalapeño,Individual
159,Queso,Individual
160,Barbacoa,Para Compartir Entre 2 Personas
161,Picante Chapín,Individual
162,Barbacoa,Para Compartir Entre 2 Personas
163,Barbacoa,Tamaño Fiesta O Reunión
164,Queso,Tamaño Fiesta O Reunión
