EncuestaID,Snack
1,FutbolMix
1,Hot Stadium Peanuts
1,Caramel Goal Popcorn
2,ChocoKick Bites
2,CrunchMax BBQ
3,ChocoKick Bites
3,Fan Chips Jalapeño
3,Victory Pretzels
4,Fan Chips Jalapeño
4,CrunchMax BBQ
5,Caramel Goal Popcorn
5,FutbolMix
6,CrunchMax BBQ
7,ChocoKick Bites
8,Hot Stadium Peanuts
8,Caramel Goal Popcorn
8,Fan Chips Jalapeño
9,Caramel Goal Popcorn
10,Energy Crunch Protein
10,Fan Chips Jalapeño
10,Gol Nachos Supreme
11,Gol Nachos Supreme
12,FutbolMix
13,FutbolMix
13,Gol Nachos Supreme
13,Caramel Goal Popcorn
14,Victory Pretzels
15,Energy Crunch Protein
15,CrunchMax BBQ
15,ChocoKick Bites
16,ChocoKick Bites
16,FutbolMix
17,Hot Stadium Peanuts
17,Gol Nachos Supreme
17,FutbolMix
18,Mundialitos Queso Picante
18,CrunchMax BBQ
19,CrunchMax BBQ
19,Energy Crunch Protein
20,Hot Stadium Peanuts
20,Mundialitos Queso Picante
20,FutbolMix
21,ChocoKick Bites
21,FutbolMix
21,Fan Chips Jalapeño
22,Fan Chips Jalapeño
22,Victory Pretzels
23,FutbolMix
24,Mundialitos Queso Picante
24,ChocoKick Bites
25,FutbolMix
25,Mundialitos Queso Picante
26,ChocoKick Bites
26,FutbolMix
27,ChocoKick Bites
28,Energy Crunch Protein
29,Gol Nachos Supreme
30,FutbolMix
30,Mundialitos Queso Picante
31,Fan Chips Jalapeño
31,CrunchMax BBQ
32,Victory Pretzels
32,Fan Chips Jalapeño
32,Gol Nachos Supreme
33,Mundialitos Queso Picante
33,CrunchMax BBQ
33,Caramel Goal Popcorn
34,CrunchMax BBQ
35,Fan Chips Jalapeño
36,Caramel Goal Popcorn
36,ChocoKick Bites
37,ChocoKick Bites
37,Mundialitos Queso Picante
37,Fan Chips Jalapeño
38,FutbolMix
38,Energy Crunch Protein
39,ChocoKick Bites
39,Caramel Goal Popcorn
39,FutbolMix
40,Fan Chips Jalapeño
40,ChocoKick Bites
40,FutbolMix
41,Mundialitos Queso Picante
42,Hot Stadium Peanuts
42,Caramel Goal Popcorn
43,Energy Crunch Protein
44,Energy Crunch Protein
45,CrunchMax BBQ
45,Mundialitos Queso Picante
45,Caramel Goal Popcorn
46,Hot Stadium Peanuts
46,Fan Chips Jalapeño
46,FutbolMix
47,Fan Chips Jalapeño
47,Gol Nachos Supreme
48,CrunchMax BBQ
49,CrunchMax BBQ
50,ChocoKick Bites
50,Fan Chips Jalapeño
51,Mundialitos Queso Picante
51,Fan Chips Jalapeño
51,Gol Nachos Supreme
52,FutbolMix
53,FutbolMix
53,CrunchMax BBQ
53,Gol Nachos Supreme
54,CrunchMax BBQ
54,Gol Nachos Supreme
55,Victory Pretzels
56,Mundialitos Queso Picante
57,ChocoKick Bites
57,Mundialitos Queso Picante
57,Gol Nachos Supreme
58,CrunchMax BBQ
58,ChocoKick Bites
58,Gol Nachos Supreme
59,Hot Stadium Peanuts
60,CrunchMax BBQ
61,CrunchMax BBQ
62,Hot Stadium Peanuts
63,Victory Pretzels
63,ChocoKick Bites
64,Gol Nachos Supreme
64,FutbolMix
64,CrunchMax BBQ
65,Mundialitos Queso Picante
65,ChocoKick Bites
66,Gol Nachos Supreme
67,Mundialitos Queso Picante
67,Victory Pretzels
67,FutbolMix
68,ChocoKick Bites
68,Gol Nachos Supreme
69,FutbolMix
70,FutbolMix
70,Fan Chips Jalapeño
71,FutbolMix
72,ChocoKick Bites
72,Victory Pretzels
73,ChocoKick Bites
73,Hot Stadium Peanuts
74,Fan Chips Jalapeño
75,Caramel Goal Popcorn
75,FutbolMix
75,Mundialitos Queso Picante
76,CrunchMax BBQ
77,Caramel Goal Popcorn
77,CrunchMax BBQ
77,ChocoKick Bites
78,CrunchMax BBQ
78,Mundialitos Queso Picante
79,Caramel Goal Popcorn
80,Gol Nachos Supreme
80,CrunchMax BBQ
81,FutbolMix
81,Fan Chips Jalapeño
82,Caramel Goal Popcorn
82,Gol Nachos Supreme
83,Gol Nachos Supreme
83,CrunchMax BBQ
83,FutbolMix
84,Victory Pretzels
84,Mundialitos Queso Picante
84,CrunchMax BBQ
85,Mundialitos Queso Picante
85,Fan Chips Jalapeño
85,FutbolMix
86,Gol Nachos Supreme
86,Hot Stadium Peanuts
87,ChocoKick Bites
87,Fan Chips Jalapeño
87,CrunchMax BBQ
88,CrunchMax BBQ
88,Fan Chips Jalapeño
89,CrunchMax BBQ
89,Fan Chips Jalapeño
90,Caramel Goal Popcorn
90,Fan Chips Jalapeño
90,Hot Stadium Peanuts
91,Victory Pretzels
91,Fan Chips Jalapeño
92,CrunchMax BBQ
93,Victory Pretzels
93,Gol Nachos Supreme
93,Caramel Goal Popcorn
94,Fan Chips Jalapeño
95,Fan Chips Jalapeño
95,CrunchMax BBQ
96,Energy Crunch Protein
97,Victory Pretzels
97,CrunchMax BBQ
97,Caramel Goal Popcorn
98,Gol Nachos Supreme
98,Mundialitos Queso Picante
99,FutbolMix
100,Mundialitos Queso Picante
101,Victory Pretzels
101,Mundialitos Queso Picante
101,Fan Chips Jalapeño
102,FutbolMix
102,Fan Chips Jalapeño
103,Fan Chips Jalapeño
104,Caramel Goal Popcorn
105,ChocoKick Bites
105,Caramel Goal Popcorn
105,CrunchMax BBQ
106,CrunchMax BBQ
107,Energy Crunch Protein
108,Gol Nachos Supreme
109,Gol Nachos Supreme
109,ChocoKick Bites
109,Mundialitos Queso Picante
110,Hot Stadium Peanuts
110,Fan Chips Jalapeño
110,Victory Pretzels
111,ChocoKick Bites
111,CrunchMax BBQ
111,Hot Stadium Peanuts
112,Fan Chips Jalapeño
113,Gol Nachos Supreme
114,Caramel Goal Popcorn
114,Mundialitos Queso Picante
114,CrunchMax BBQ
115,Gol Nachos Supreme
115,FutbolMix
116,Gol Nachos Supreme
116,CrunchMax BBQ
116,ChocoKick Bites
117,Mundialitos Queso Picante
117,Fan Chips Jalapeño
117,CrunchMax BBQ
118,FutbolMix
119,Mundialitos Queso Picante
119,FutbolMix
120,ChocoKick Bites
120,FutbolMix
120,Mundialitos Queso Picante
121,CrunchMax BBQ
122,Fan Chips Jalapeño
122,Victory Pretzels
123,Mundialitos Queso Picante
123,Gol Nachos Supreme
124,Fan Chips Jalapeño
124,Mundialitos Queso Picante
124,Victory Pretzels
125,Fan Chips Jalapeño
126,Caramel Goal Popcorn
127,FutbolMix
127,Victory Pretzels
127,Fan Chips Jalapeño
128,CrunchMax BBQ
128,FutbolMix
128,Gol Nachos Supreme
129,Victory Pretzels
129,CrunchMax BBQ
129,Mundialitos Queso Picante
130,Caramel Goal Popcorn
131,Mundialitos Queso Picante
132,Mundialitos Queso Picante
132,Caramel Goal Popcorn
132,Gol Nachos Supreme
133,CrunchMax BBQ
133,Mundialitos Queso Picante
133,Fan Chips Jalapeño
134,Gol Nachos Supreme
134,Mundialitos Queso Picante
135,Caramel Goal Popcorn
135,Hot Stadium Peanuts
