EncuestaID,FechaEncuesta,FrecuenciaConsumoSnacks,LugarCompraSnacks,ConQuienVePartidos,GastoSnacksPartido,GastoPromedio
1,15 Abril 2026,Varias Veces Al Mes,Aplicación De Delivery,Amigos,Q25 - Q50,37.5
2,26 Enero 2026,1 A 2 Veces Por Semana,Supermercado,Solo,Q51 - Q100,75.5
3,22 Abril 2026,Varias Veces Al Mes,Kiosco Escolar/Universitario,Familia,Q51 - Q100,75.5
4,28 Enero 2026,3 A 5 Veces Por Semana,Gasolinera,Solo,Q25 - Q50,37.5
5,04 Marzo 2026,Varias Veces Al Mes,Tienda De Barrio,Amigos,Q51 - Q100,75.5
6,05 Febrero 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Solo,Menos De Q25,12.5
7,20 Enero 2026,3 A 5 Veces Por Semana,Aplicación De Delivery,Solo,Q51 - Q100,75.5
8,30 Marzo 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Amigos,Q25 - Q50,37.5
9,11 Enero 2026,Todos Los Días,Kiosco Escolar/Universitario,Familia,Q25 - Q50,37.5
10,21 Febrero 2026,Varias Veces Al Mes,Tienda De Barrio,Familia,Q51 - Q100,75.5
11,04 Abril 2026,Todos Los Días,Otro,Familia,Menos De Q25,12.5
12,29 Enero 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Compañeros De Trabajo,Q51 - Q100,75.5
13,05 Mayo 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Q101 - Q150,125.5
14,28 Abril 2026,3 A 5 Veces Por Semana,Otro,Amigos,Q51 - Q100,75.5
15,10 Febrero 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Compañeros De Trabajo,Q51 - Q100,75.5
16,23 Marzo 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Amigos,Q25 - Q50,37.5
17,08 Mayo 2026,Todos Los Días,Supermercado,Familia,Más De Q150,175.0
18,10 Mayo 2026,1 A 2 Veces Por Semana,Kiosco Escolar/Universitario,Amigos,Q101 - Q150,125.5
19,11 Febrero 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Q25 - Q50,37.5
20,31 Marzo 2026,Varias Veces Al Mes,Gasolinera,Amigos,Q51 - Q100,75.5
21,17 Febrero 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Q25 - Q50,37.5
22,16 Abril 2026,Todos Los Días,Tienda De Barrio,Familia,Q51 - Q100,75.5
23,30 Marzo 2026,Todos Los Días,Tienda De Barrio,Otro,Q25 - Q50,37.5
24,11 Febrero 2026,Todos Los Días,Otro,Amigos,Q101 - Q150,125.5
25,16 Abril 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Solo,Q51 - Q100,75.5
26,18 Abril 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Q25 - Q50,37.5
27,06 Febrero 2026,Todos Los Días,Supermercado,Familia,Menos De Q25,12.5
28,14 Marzo 2026,1 A 2 Veces Por Semana,Aplicación De Delivery,Amigos,Menos De Q25,12.5
29,01 Mayo 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Amigos,Q25 - Q50,37.5
30,09 Marzo 2026,Todos Los Días,Gasolinera,Amigos,Q51 - Q100,75.5
31,17 Febrero 2026,Todos Los Días,Tienda De Barrio,Amigos,Q25 - Q50,37.5
32,16 Marzo 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Familia,Q51 - Q100,75.5
33,18 Marzo 2026,Todos Los Días,Otro,Amigos,Q51 - Q100,75.5
34,02 Mayo 2026,Varias Veces Al Mes,Supermercado,Familia,Q101 - Q150,125.5
35,12 Enero 2026,Todos Los Días,Supermercado,Familia,Menos De Q25,12.5
36,24 Marzo 2026,Todos Los Días,Tienda De Barrio,Familia,Q51 - Q100,75.5
37,19 Febrero 2026,3 A 5 Veces Por Semana,Supermercado,Solo,Q51 - Q100,75.5
38,28 Febrero 2026,Rara Vez,Aplicación De Delivery,Otro,Q51 - Q100,75.5
39,26 Abril 2026,Todos Los Días,Gasolinera,Compañeros De Trabajo,Más De Q150,175.0
40,29 Enero 2026,3 A 5 Veces Por Semana,No Indicado,Familia,Menos De Q25,12.5
41,25 Enero 2026,3 A 5 Veces Por Semana,Supermercado,Otro,Q101 - Q150,125.5
42,06 Abril 2026,1 A 2 Veces Por Semana,Aplicación De Delivery,Amigos,Q51 - Q100,75.5
43,14 Marzo 2026,Todos Los Días,Tienda De Barrio,Amigos,Menos De Q25,12.5
44,05 Marzo 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Q51 - Q100,75.5
45,18 Abril 2026,Varias Veces Al Mes,Supermercado,Familia,Q25 - Q50,37.5
46,16 Marzo 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Solo,Q25 - Q50,37.5
47,21 Enero 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Compañeros De Trabajo,Q51 - Q100,75.5
48,12 Marzo 2026,Todos Los Días,Gasolinera,Amigos,Q51 - Q100,75.5
49,22 Febrero 2026,Todos Los Días,Tienda De Barrio,Familia,Q25 - Q50,37.5
50,16 Marzo 2026,Todos Los Días,Gasolinera,Amigos,Q51 - Q100,75.5
51,25 Enero 2026,1 A 2 Veces Por Semana,Aplicación De Delivery,Otro,Q101 - Q150,125.5
52,10 Marzo 2026,Rara Vez,Otro,Familia,Menos De Q25,12.5
53,27 Enero 2026,Varias Veces Al Mes,Gasolinera,Amigos,Q51 - Q100,75.5
54,04 Febrero 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Familia,Más De Q150,175.0
55,19 Enero 2026,Rara Vez,Gasolinera,Compañeros De Trabajo,Q51 - Q100,75.5
56,13 Abril 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Familia,Q51 - Q100,75.5
57,31 Marzo 2026,Varias Veces Al Mes,Gasolinera,Familia,Q51 - Q100,75.5
58,30 Marzo 2026,Varias Veces Al Mes,Supermercado,Familia,Q25 - Q50,37.5
59,06 Marzo 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Familia,Q25 - Q50,37.5
60,29 Marzo 2026,1 A 2 Veces Por Semana,Otro,Amigos,Menos De Q25,12.5
61,06 Febrero 2026,3 A 5 Veces Por Semana,Otro,Familia,Q101 - Q150,125.5
62,15 Abril 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Amigos,Q51 - Q100,75.5
63,16 Abril 2026,Todos Los Días,Tienda De Barrio,Familia,Q25 - Q50,37.5
64,02 Abril 2026,3 A 5 Veces Por Semana,No Indicado,Compañeros De Trabajo,Menos De Q25,12.5
65,27 Abril 2026,Varias Veces Al Mes,Gasolinera,Compañeros De Trabajo,Q101 - Q150,125.5
66,21 Febrero 2026,1 A 2 Veces Por Semana,Supermercado,Compañeros De Trabajo,Q51 - Q100,75.5
67,04 Abril 2026,3 A 5 Veces Por Semana,Kiosco Escolar/Universitario,Familia,Q25 - Q50,37.5
68,15 Enero 2026,Varias Veces Al Mes,Tienda De Barrio,Solo,Q25 - Q50,37.5
69,15 Marzo 2026,1 A 2 Veces Por Semana,Kiosco Escolar/Universitario,Otro,Q51 - Q100,75.5
70,26 Febrero 2026,3 A 5 Veces Por Semana,Supermercado,Amigos,Q51 - Q100,75.5
71,27 Enero 2026,1 A 2 Veces Por Semana,Gasolinera,Amigos,Q25 - Q50,37.5
72,01 Mayo 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Menos De Q25,12.5
73,07 Febrero 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Q25 - Q50,37.5
74,16 Abril 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Familia,Más De Q150,175.0
75,19 Enero 2026,Todos Los Días,Tienda De Barrio,Amigos,Menos De Q25,12.5
76,02 Marzo 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Amigos,Q51 - Q100,75.5
77,05 Mayo 2026,Varias Veces Al Mes,Tienda De Barrio,Amigos,Q25 - Q50,37.5
78,15 Abril 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Q25 - Q50,37.5
79,11 Enero 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Q25 - Q50,37.5
80,24 Marzo 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Otro,Menos De Q25,12.5
81,09 Marzo 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Menos De Q25,12.5
82,07 Abril 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Menos De Q25,12.5
83,14 Abril 2026,Varias Veces Al Mes,Kiosco Escolar/Universitario,Familia,Menos De Q25,12.5
84,05 Mayo 2026,Rara Vez,Gasolinera,Familia,Q51 - Q100,75.5
85,24 Enero 2026,3 A 5 Veces Por Semana,Supermercado,Amigos,Q51 - Q100,75.5
86,15 Enero 2026,Varias Veces Al Mes,Supermercado,Compañeros De Trabajo,Más De Q150,175.0
87,24 Marzo 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Otro,Q51 - Q100,75.5
88,01 Febrero 2026,1 A 2 Veces Por Semana,Aplicación De Delivery,Amigos,Más De Q150,175.0
89,10 Mayo 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Menos De Q25,12.5
90,29 Abril 2026,Todos Los Días,Aplicación De Delivery,Familia,Q25 - Q50,37.5
91,05 Marzo 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Menos De Q25,12.5
92,16 Febrero 2026,3 A 5 Veces Por Semana,Otro,Familia,Q101 - Q150,125.5
93,18 Abril 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Menos De Q25,12.5
94,13 Marzo 2026,Todos Los Días,Gasolinera,Compañeros De Trabajo,Q25 - Q50,37.5
95,18 Marzo 2026,Varias Veces Al Mes,Otro,Familia,Más De Q150,175.0
96,07 Abril 2026,Varias Veces Al Mes,Kiosco Escolar/Universitario,Familia,Menos De Q25,12.5
97,17 Abril 2026,Todos Los Días,Aplicación De Delivery,Amigos,Q51 - Q100,75.5
98,24 Febrero 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Amigos,Q51 - Q100,75.5
99,13 Febrero 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Compañeros De Trabajo,Menos De Q25,12.5
100,30 Abril 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Menos De Q25,12.5
101,16 Enero 2026,Varias Veces Al Mes,Tienda De Barrio,Amigos,Q51 - Q100,75.5
102,10 Mayo 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Familia,Q25 - Q50,37.5
103,30 Marzo 2026,Todos Los Días,Tienda De Barrio,Amigos,Q51 - Q100,75.5
104,29 Marzo 2026,3 A 5 Veces Por Semana,Gasolinera,Familia,Más De Q150,175.0
