Departamento,Ocupacion,Encuestados,Porcentaje
Alta Verapaz,Empleado Privado,15,0.6
Alta Verapaz,Estudiante,8,0.32
Alta Verapaz,Profesional Independiente,5,0.2
Alta Verapaz,Ama De Casa,4,0.16
Alta Verapaz,Empresario,4,0.16
Alta Verapaz,Comerciante,3,0.12
Alta Verapaz,Empleado Público,3,0.12
Alta Verapaz,Otro,2,0.08
Baja Verapaz,Comerciante,11,0.44
Baja Verapaz,Empleado Privado,7,0.28
Baja Verapaz,Ama De Casa,5,0.2
Baja Verapaz,Estudiante,5,0.2
Baja Verapaz,Profesional Independiente,5,0.2
Baja Verapaz,Empleado Público,3,0.12
Baja Verapaz,Empresario,3,0.12
Baja Verapaz,No Indicado,1,0.04
Chimaltenango,Empleado Privado,47,1.88
Chimaltenango,Estudiante,36,1.44
Chimaltenango,Comerciante,18,0.72
Chimaltenango,Empleado Público,17,0.68
Chimaltenango,Profesional Independiente,16,0.64
Chimaltenango,Empresario,12,0.48
Chimaltenango,Ama De Casa,10,0.4
Chimaltenango,Otro,8,0.32
Chimaltenango,Jubilado,4,0.16
Chimaltenango,No Indicado,4,0.16
Chiquimula,Empleado Privado,12,0.48
Chiquimula,Estudiante,6,0.24
Chiquimula,Empleado Público,5,0.2
Chiquimula,Empresario,5,0.2
Chiquimula,Otro,3,0.12
Chiquimula,Comerciante,2,0.08
Chiquimula,Profesional Independiente,2,0.08
Chiquimula,Jubilado,1,0.04
El Progreso,Empleado Privado,12,0.48
El Progreso,Estudiante,10,0.4
El Progreso,Empresario,6,0.24
El Progreso,Comerciante,5,0.2
El Progreso,Empleado Público,4,0.16
El Progreso,Jubilado,3,0.12
El Progreso,Otro,3,0.12
El Progreso,Profesional Independiente,3,0.12
El Progreso,Ama De Casa,1,0.04
Escuintla,Empleado Privado,63,2.52
Escuintla,Estudiante,30,1.2
Escuintla,Empresario,22,0.88
Escuintla,Comerciante,18,0.72
Escuintla,Profesional Independiente,16,0.64
Escuintla,Ama De Casa,14,0.56
Escuintla,Empleado Público,13,0.52
Escuintla,Otro,12,0.48
Escuintla,Jubilado,1,0.04
Escuintla,No Indicado,1,0.04
Guate,Empleado Privado,6,0.24
Guate,Comerciante,2,0.08
Guate,Empresario,2,0.08
Guate,Estudiante,2,0.08
Guate,Profesional Independiente,1,0.04
Guatemala,Empleado Privado,339,13.56
Guatemala,Estudiante,210,8.4
Guatemala,Comerciante,127,5.08
Guatemala,Profesional Independiente,101,4.04
Guatemala,Ama De Casa,90,3.6
Guatemala,Empleado Público,73,2.92
Guatemala,Empresario,69,2.76
Guatemala,Otro,37,1.48
Guatemala,Jubilado,23,0.92
Guatemala,No Indicado,19,0.76
Huehuetenango,Empleado Privado,15,0.6
Huehuetenango,Comerciante,8,0.32
Huehuetenango,Estudiante,7,0.28
Huehuetenango,Ama De Casa,4,0.16
Huehuetenango,Empleado Público,4,0.16
Huehuetenango,Profesional Independiente,3,0.12
Huehuetenango,Jubilado,1,0.04
Huehuetenango,No Indicado,1,0.04
Izabal,Empleado Privado,12,0.48
Izabal,Empresario,4,0.16
Izabal,Estudiante,4,0.16
Izabal,Profesional Independiente,4,0.16
Izabal,Empleado Público,3,0.12
Izabal,Jubilado,2,0.08
Izabal,Ama De Casa,1,0.04
Izabal,Comerciante,1,0.04
Jalapa,Empleado Privado,14,0.56
Jalapa,Comerciante,9,0.36
Jalapa,Estudiante,8,0.32
Jalapa,Profesional Independiente,6,0.24
Jalapa,Ama De Casa,4,0.16
Jalapa,Empleado Público,4,0.16
Jalapa,Empresario,2,0.08
Jalapa,Jubilado,1,0.04
Jalapa,No Indicado,1,0.04
Jutiapa,Empleado Privado,16,0.64
Jutiapa,Estudiante,6,0.24
Jutiapa,Comerciante,3,0.12
Jutiapa,Empleado Público,3,0.12
Jutiapa,Ama De Casa,2,0.08
Jutiapa,Profesional Independiente,2,0.08
Jutiapa,Empresario,1,0.04
Jutiapa,Jubilado,1,0.04
Petén,Empleado Privado,14,0.56
Petén,Comerciante,6,0.24
Petén,Estudiante,6,0.24
Petén,Profesional Independiente,4,0.16
Petén,Ama De Casa,2,0.08
Petén,Empleado Público,2,0.08
Petén,Empresario,2,0.08
Petén,Otro,2,0.08
Quetzaltenango,Empleado Privado,60,2.4
Quetzaltenango,Estudiante,35,1.4
Quetzaltenango,Comerciante,19,0.76
Quetzaltenango,Empresario,18,0.72
Quetzaltenango,Profesional Independiente,18,0.72
Quetzaltenango,Otro,12,0.48
Quetzaltenango,Ama De Casa,11,0.44
Quetzaltenango,Empleado Público,10,0.4
Quetzaltenango,Jubilado,4,0.16
Quetzaltenango,No Indicado,3,0.12
Quiché,Empleado Privado,8,0.32
Quiché,Estudiante,7,0.28
Quiché,Comerciante,6,0.24
Quiché,Profesional Independiente,4,0.16
Quiché,Empresario,3,0.12
Quiché,Jubilado,3,0.12
Quiché,Ama De Casa,2,0.08
Quiché,Empleado Público,1,0.04
Quiché,Otro,1,0.04
Retalhuleu,Empleado Privado,17,0.68
Retalhuleu,Estudiante,7,0.28
Retalhuleu,Comerciante,4,0.16
Retalhuleu,Empleado Público,4,0.16
Retalhuleu,Ama De Casa,3,0.12
Retalhuleu,Empresario,3,0.12
Retalhuleu,Jubilado,2,0.08
Retalhuleu,Otro,2,0.08
Retalhuleu,Profesional Independiente,2,0.08
Sacatepéquez,Empleado Privado,66,2.64
Sacatepéquez,Estudiante,26,1.04
Sacatepéquez,Comerciante,22,0.88
Sacatepéquez,Profesional Independiente,20,0.8
Sacatepéquez,Empleado Público,15,0.6
Sacatepéquez,Otro,11,0.44
Sacatepéquez,Ama De Casa,10,0.4
Sacatepéquez,Empresario,5,0.2
Sacatepéquez,No Indicado,4,0.16
Sacatepéquez,Jubilado,3,0.12
San Marcos,Empleado Privado,9,0.36
San Marcos,Estudiante,6,0.24
San Marcos,Profesional Independiente,5,0.2
San Marcos,Comerciante,3,0.12
San Marcos,Empleado Público,3,0.12
San Marcos,Jubilado,3,0.12
San Marcos,Ama De Casa,1,0.04
San Marcos,Empresario,1,0.04
San Marcos,No Indicado,1,0.04
Santa Rosa,Empleado Privado,11,0.44
Santa Rosa,Empleado Público,8,0.32
Santa Rosa,Estudiante,8,0.32
Santa Rosa,Comerciante,6,0.24
Santa Rosa,Profesional Independiente,5,0.2
Santa Rosa,Ama De Casa,2,0.08
Santa Rosa,Empresario,2,0.08
Santa Rosa,Otro,1,0.04
Sololá,Empleado Privado,11,0.44
Sololá,Estudiante,6,0.24
Sololá,Profesional Independiente,6,0.24
Sololá,Comerciante,4,0.16
Sololá,Empresario,3,0.12
Sololá,Empleado Público,2,0.08
Sololá,Otro,2,0.08
Sololá,Ama De Casa,1,0.04
Sololá,Jubilado,1,0.04
Sololá,No Indicado,1,0.04
Suchitepéquez,Empleado Privado,13,0.52
Suchitepéquez,Profesional Independiente,9,0.36
Suchitepéquez,Comerciante,6,0.24
Suchitepéquez,Empresario,5,0.2
Suchitepéquez,Empleado Público,4,0.16
Suchitepéquez,Estudiante,4,0.16
Suchitepéquez,Otro,2,0.08
Totonicapán,Empleado Privado,10,0.4
Totonicapán,Estudiante,4,0.16
Totonicapán,Profesional Independiente,4,0.16
Totonicapán,Comerciante,3,0.12
Totonicapán,Otro,3,0.12
Totonicapán,Ama De Casa,2,0.08
Totonicapán,Empleado Público,1,0.04
Totonicapán,Empresario,1,0.04
Totonicapán,Jubilado,1,0.04
Xela,Empleado Privado,2,0.08
Xela,Estudiante,1,0.04
Zacapa,Empleado Privado,14,0.56
Zacapa,Comerciante,7,0.28
Zacapa,Empleado Público,3,0.12
Zacapa,Estudiante,3,0.12
Zacapa,Otro,3,0.12
Zacapa,Profesional Independiente,3,0.12
Zacapa,Ama De Casa,2,0.08
Zacapa,Jubilado,1,0.04
Zacapa,No Indicado,1,0.04
