Departamento,CrunchMax BBQ,Gol Nachos Supreme,Mundialitos Queso Picante
Alta Verapaz,10,7,7
Baja Verapaz,14,7,14
Chimaltenango,47,45,39
Chiquimula,14,12,13
El Progreso,17,13,15
Escuintla,47,47,60
Guate,3,1,4
Guatemala,289,300,305
Huehuetenango,10,13,17
Izabal,13,7,7
Jalapa,10,12,12
Jutiapa,12,14,12
Petén,9,12,8
Quetzaltenango,59,49,49
Quiché,8,11,10
Retalhuleu,17,7,16
Sacatepéquez,53,46,57
San Marcos,8,6,8
Santa Rosa,16,12,4
Sololá,13,7,17
Suchitepéquez,9,8,13
Totonicapán,6,8,2
Xela,2,1,1
Zacapa,7,10,14
